title,content_type,year,certificate,duration,genre,rating,votes
Billions,TV Show,2016,TV-MA,60,Drama,8.4,93451
"Extremely Wicked, Shockingly Evil and Vile",Movie,2019,R,110,"Biography, Crime, Drama",6.7,93449
The Painted Veil,Movie,2006,PG-13,125,"Drama, Romance",7.4,93122
The Good Doctor,TV Show,2017,TV-14,41,Drama,8.1,92641
The Babysitter,TV Show,2017,TV-MA,85,"Comedy, Horror",6.3,92479
The Secret World of Arrietty,Movie,2010,G,94,"Animation, Adventure, Drama",7.6,92424
Killers,Movie,2010,PG-13,100,"Action, Comedy, Romance",5.4,92179
The Highwaymen,Movie,2019,R,132,"Biography, Crime, Drama",6.9,91163
I Am Mother,TV Show,2019,TV-14,113,"Drama, Mystery, Sci-Fi",6.7,90922
Polar,TV Show,2019,TV-MA,118,"Action, Thriller",6.3,89645
Porco Rosso,Movie,1992,PG,94,"Animation, Adventure, Comedy",7.7,89540
365 Days,TV Show,2020,TV-MA,114,"Drama, Romance",3.3,89071
Emily in Paris,TV Show,2020,TV-MA,30,"Comedy, Drama, Romance",6.9,88868
Unthinkable,Movie,2010,R,97,"Crime, Drama, Thriller",7.0,88545
Project Power,Movie,2020,R,113,"Action, Crime, Sci-Fi",6.0,88089
Mirror Mirror,Movie,2012,PG,106,"Adventure, Comedy, Drama",5.6,88003
Spenser Confidential,Movie,2020,R,111,"Action, Comedy, Drama",6.2,88002
Tommy Boy,Movie,1995,PG-13,97,"Adventure, Comedy",7.1,87921
A Cinderella Story,Movie,2004,PG,95,"Comedy, Family, Romance",5.9,87840
Step Up 2: The Streets,Movie,2008,PG-13,98,"Drama, Music, Romance",6.2,87797
Blitz,Movie,2011,R,97,"Action, Crime, Thriller",6.1,87345
Fatal Attraction,Movie,1987,R,119,"Drama, Thriller",6.9,86764
Shot Caller,Movie,2017,R,121,"Crime, Drama, Thriller",7.3,86482
News of the World,Movie,2020,PG-13,118,"Action, Adventure, Drama",6.8,86396
The Wind Rises,Movie,2013,PG-13,126,"Animation, Biography, Drama",7.7,85688
Going in Style,Movie,2017,PG-13,96,"Comedy, Crime",6.6,85654
I'm Thinking of Ending Things,Movie,2020,R,134,"Drama, Thriller",6.6,85315
Mechanic: Resurrection,Movie,2016,R,98,"Action, Adventure, Crime",5.7,85193
Death Note,TV Show,2017,TV-MA,101,"Crime, Drama, Fantasy",4.5,84893
